k,lambda,lr,step,val_acc,train_loss,test_acc
200,0.0,0.1,10,0.6543889359300028,6.37896404589992,0.6658199266158623
500,0.0,0.1,10,0.6567880327406153,6.409419284551404,0.6629974597798476
10,0.001,0.1,10,0.39923793395427604,16.23295198485721,0.4041772509173017
50,0.001,0.1,10,0.6103584532881738,6.890804531751201,0.6356195314705052
100,0.001,0.1,10,0.6202370872142252,6.742965794401243,0.645780412080158
200,0.001,0.1,10,0.5992097092859159,7.063283859170042,0.6181202370872142
500,0.001,0.1,10,0.6018910527801299,7.086202088161372,0.615580016934801
10,0.0001,0.1,10,0.6514253457521874,6.40067810472101,0.6709003669206887
50,0.0001,0.1,10,0.6546711826136042,6.402512216591276,0.668077900084674
100,0.0001,0.1,10,0.6525543324865933,6.4124088258249685,0.6669489133502682
200,0.0001,0.1,10,0.6507197290431838,6.417344140820205,0.6646909398814564
500,0.0001,0.1,10,0.6567880327406153,6.387086359085515,0.6663844199830652
10,0.0,0.05,10,0.5910245554614734,7.445041910861619,0.5879198419418572
50,0.0,0.05,10,0.5906011854360711,7.412542454432696,0.5983629692351115
100,0.0,0.05,10,0.609793959920971,7.081877126125619,0.6311035845328817
200,0.0,0.05,10,0.5949760090318938,7.358751274761744,0.6138865368331922
500,0.0,0.05,10,0.5911656788032741,7.4340900894021615,0.5932825289302851
10,0.001,0.05,10,0.39923793395427604,16.558310535969213,0.4041772509173017
50,0.001,0.05,10,0.39923793395427604,17.277580175199546,0.4041772509173017
100,0.001,0.05,10,0.39923793395427604,16.55112956278026,0.4041772509173017
200,0.001,0.05,10,0.39923793395427604,17.060181776294485,0.4041772509173017
500,0.001,0.05,10,0.39923793395427604,17.11369351344183,0.4041772509173017
10,0.0001,0.05,10,0.563082133784928,8.04717926052399,0.5707027942421676
50,0.0001,0.05,10,0.6017499294383291,7.320621710619889,0.6037256562235394
100,0.0001,0.05,10,0.5982218458933107,7.2270908002974465,0.6147332768839966
200,0.0001,0.05,10,0.5955405023990968,7.414402459166013,0.5966694891335027
500,0.0001,0.05,10,0.5852384984476432,7.434429367189296,0.5994919559695173
10,0.0,0.01,10,0.39923793395427604,17.898054567631334,0.4041772509173017
50,0.0,0.01,10,0.39923793395427604,17.82399994879961,0.4041772509173017
100,0.0,0.01,10,0.39923793395427604,17.847330698976293,0.4041772509173017
200,0.0,0.01,10,0.39923793395427604,18.0383020498557,0.4041772509173017
500,0.0,0.01,10,0.39923793395427604,17.80636697029695,0.4041772509173017
10,0.001,0.01,10,0.39923793395427604,18.145442840876058,0.4041772509173017
50,0.001,0.01,10,0.39923793395427604,18.113594611757435,0.4041772509173017
100,0.001,0.01,10,0.39923793395427604,18.08454023883678,0.4041772509173017
200,0.001,0.01,10,0.39923793395427604,18.075473473058082,0.4041772509173017
500,0.001,0.01,10,0.39923793395427604,18.067893032333814,0.4041772509173017
10,0.0001,0.01,10,0.39923793395427604,17.89923095877748,0.4041772509173017
50,0.0001,0.01,10,0.39923793395427604,17.90131925046444,0.4041772509173017
100,0.0001,0.01,10,0.39923793395427604,17.816245493944734,0.4041772509173017
200,0.0001,0.01,10,0.39923793395427604,17.900864078546874,0.4041772509173017
500,0.0001,0.01,10,0.39923793395427604,17.80415224947501,0.4041772509173017
10,0.0,0.1,25,0.6782387806943269,6.1156735719996504,0.6875529212531752
50,0.0,0.1,25,0.6820491109229466,6.117235551995691,0.6850127011007621
100,0.0,0.1,25,0.6778154106689246,6.106919365469366,0.6838837143663562
200,0.0,0.1,25,0.6799322607959356,6.105200262507424,0.6821902342647473
500,0.0,0.1,25,0.6793677674287327,6.131350482814014,0.6827547276319503
10,0.001,0.1,25,0.6361840248377082,6.676691647386178,0.6542478125882021
50,0.001,0.1,25,0.6378775049393169,6.6544114012504,0.6542478125882021
100,0.001,0.1,25,0.6397121083827265,6.643636065651663,0.655376799322608
200,0.001,0.1,25,0.6368896415467118,6.640070749795996,0.6584815128422241
500,0.001,0.1,25,0.6380186282811177,6.661154523957521,0.6559412926898109
10,0.0001,0.1,25,0.678662150719729,6.173435456177685,0.6810612475303415
50,0.0001,0.1,25,0.6782387806943269,6.184599292289931,0.6804967541631386
100,0.0001,0.1,25,0.6793677674287327,6.187809914816171,0.681343494213943
200,0.0001,0.1,25,0.6783799040361276,6.195009392453358,0.6793677674287327
500,0.0001,0.1,25,0.6800733841377364,6.164854699745774,0.6785210273779283
10,0.0,0.05,25,0.6517075924357889,6.449117594398558,0.65961049957663
50,0.0,0.05,25,0.6502963590177815,6.423716145567596,0.6641264465142535
100,0.0,0.05,25,0.6511430990685859,6.469979022396728,0.6565057860570138
200,0.0,0.05,25,0.6567880327406153,6.4062985052587464,0.6706181202370872
500,0.0,0.05,25,0.6493084956251765,6.444445253815502,0.6607394863110359
10,0.001,0.05,25,0.6175557437200113,6.80496502481401,0.6466271521309624
50,0.001,0.05,25,0.6175557437200113,6.870624873554334,0.6364662715213096
100,0.001,0.05,25,0.5856618684730455,7.39948679250665,0.59808072255151
